handle,source,school,lang,name,followers,statuses,age_y,statuses_per_y,originals_per_y,asset_hit_rate,probe_n,last_tweet,bio_score,verified,bio
fredwilson,following,,,Fred Wilson,0,0,,,,,,,0,,I am a VC
posco,following,,,P. Oscar Boykin,0,0,,,,,,,0,,"Building https://t.co/KRuGeJANsQ -- Former engineer at @Netflix,@stripe, @twitter. Former academic. Programmer. Maui resident. Just some guy."
selenserdaroglu,following,,,Selenium,0,0,,,,,,,0,,"İnsanlık adına umutluyum. Bu müthiş kainata, tabiata; bilim ve sanatla ulaşabileceklerimize bakmaksızın daha kötü şeyler de yapabiliriz"
leventkurt,following,,,leventkurt,0,0,,,,,,,0,,
elfderman,following,,,Elif Derman,0,0,,,,,,,0,,
DirenGeziParki,following,,,Diren Gezi Parkı,0,0,,,,,,,0,,#DirenGeziParki
engincinarsahin,following,,,Cinar Sahin,0,0,,,,,,,0,,"Principal engineer at Google (Search) working on NLP, LLMs and search."
AHMTKURAL,following,,,Ahmet Kural,0,0,,,,,,,0,,https://t.co/SxwvYbeQfd.
suyorumcusu,following,,,hakan demir,0,0,,,,,,,0,,https://t.co/5SMJW136D9 hakankenandemir@gmail.com
cemadrian,following,,,cem adrian 💎,0,0,,,,,,,0,,Tuz Kral
cubique,following,,,cubique,0,0,,,,,,,0,,
veriarayanadam,following,,,v,0,0,,,,,,,0,,sanatsız sanayi barbarlıktır
dombutchello,following,,,Dom,0,0,,,,,,,0,,Find me on the other blue site. https://t.co/iOGicMnAvU  Art director/branding designer. x @tumblr @betaworks @_androbin @thepwhlofficial & other stuff
eylemozekin,following,,,Eylem Ozekin,0,0,,,,,,,0,,"computer scientist with a sense of humor, entrepreneur, techie, l'enfant terrible, passionate dreamer, absolute bookworm with a really cool day job"
gokhancapan,following,,,Gökhan Çapan,0,0,,,,,,,0,,
malgorithms,following,,,Chris Coyne,0,0,,,,,,,0,,"I ❤️ making things...always with friends. Co-founder of SparkNotes, OkCupid, and Keybase."
turian,following,,,Joseph Turian,0,0,,,,,,,0,,"Bengio postdoc. 9000 cites. One exit. Now building https://t.co/fP0kVY8bSS, an AI agent that helps on-call engineers get more"
mortardata,following,,,Mortar Data,0,0,,,,,,,0,,Mortar is now part of @datadoghq!
stnydgn,following,,,setenaydogan,0,0,,,,,,,0,,insan
adaptasyonshow,following,,,Adaptasyon,0,0,,,,,,,0,,"#KOVID19 la geri döndük Since 2011 ™ Spotify, Spreaker ve iTunes'da (https://t.co/3RTqwGp9dS)"
marclafountain,following,,,Marc LaFountain,0,0,,,,,,,0,,I like trying new things.
oshu,following,,,Joshua Hoffman,0,0,,,,,,,0,,Tech Leader / Public Speaker / Old Hardware Enthusiast
sethganz,following,,,Seth Ganz,0,0,,,,,,,0,,
bd,following,,,berk d. demir,0,0,,,,,,,0,,HTTP/1.1 410 Gone
circuitflow,following,,,Owen Meyers,0,0,,,,,,,0,,"Media & music technologist, analog synth enthusiast, cosmic dreamer."
bwhitman,following,,,Brian Whitman,0,0,,,,,,,0,,"personalization, music, weird audio hardware, was: founder at Canopy (acq by CNN) & Echo Nest (acq by Spotify).  @bwhitman@hachyderm.io"
waxpancake,following,,,Andy Baio,0,0,,,,,,,0,,👋 I quit! Follow me at https://t.co/y8ZJoROs4C or the less cursed sites below. - Bluesky: https://t.co/f6QPo7DCjf - Mastodon: https://t.co/tL5G9nm0qF
marius,following,,,marius eriksen,0,0,,,,,,,0,,"one shot wonder; tanned, rested, and ready"
mitultiwari,following,,,Mitul Tiwari,0,0,,,,,,,0,,CTO & Cofounder https://t.co/UZfyQtr5kM. Ex-(Director AI @ServiceNow. Cofounder @PassageAI. People You May Know @LinkedIn). Passionate abt building using AI/ML/data science
LemurCattaka,following,,,Lemur Cattaka,0,0,,,,,,,0,,"Join me in my search for soulful dance music. Deep House, NuDisco, Techno, Bass, Hip-hop, Funk, Soul, everything in between and beyond. Check out my blog!"
larrywasserman,following,,,Larry Wasserman,0,0,,,,,,,0,,
annie_werner,following,,,Annie Werner,0,0,,,,,,,0,,lurker/writer
mattlehrer,following,,,Matt Lehrer,0,0,,,,,,,0,,Find me at @mattlehrer.com on bsky and @mattlehrer@definitely.social on the fediverse
si_bonobo,following,,,Bonobo,0,0,,,,,,,0,,"Simon Green  'Distance in Static', The New Album - Out Now"
strle,following,,,strle,0,0,,,,,,,0,,find me elsewhere // this place sucks
bennettandrews,following,,,BennettAndrews,0,0,,,,,,,0,,🐘🐙🐙🐘
ersanozer,following,,,Ersan Özer,0,0,,,,,,,0,,
LinkedInEng,following,,,LinkedIn Engineering,0,0,,,,,,,0,,"Powered by the world’s most trusted and largest professional platform, our vision is to create economic opportunity for every member of the global workforce."
TheDataChef,following,,,Jacob Perkins,0,0,,,,,,,0,,"weeee. Maybe crochet, maybe datasciencetechnonsense"
bpapila,following,,,Berkay,0,0,,,,,,,0,,
BlendAbout,following,,,BlendAbout,0,0,,,,,,,0,,"We're no longer holding Social Dining events, but we're still about the Food and the Restaurants. DM us if you'd like to be featured."
MarinGumus,following,,,Marin Silver,0,0,,,,,,,0,,Siz Hayal Edin Biz Gerceklestirelim.
InsiderToday,following,,,Insider Today,0,0,,,,,,,0,,"The best charts from @businessinsider, @themoneygame, @sai, @clusterstock, and @sportsinsider."
acmsigmod2013,following,,,ACM Sigmod 2013,0,0,,,,,,,0,,
nathanmarz,following,,,Nathan Marz,0,0,,,,,,,0,,Founder of @redplanetlabs. On a mission to dramatically improve programmer productivity and software quality by reducing the complexity of software development.
MindBlowing,following,,,Mind Blowing,0,0,,,,,,,0,,Stuff that will blow your mind. *Original account*
irace,following,,,Bryan Irace,0,0,,,,,,,0,,Make PCI not war @link @stripe. Ex-@tumblr.
skydylanrobbins,following,,,Sky Dylan-Robbins,0,0,,,,,,,0,,"founder @videoconsortium, prev. @nbcnews, @newyorker + @forbesunder30 💫"
selim__karatas,following,,,selim,0,0,,,,,,,0,,
rabzug,following,,,Rachel Abzug,0,0,,,,,,,0,,
bobpattersonjr,following,,,Bob Patterson Jr,0,0,,,,,,,0,,"random musings about sports, code, and life"
irlab_amsterdam,following,,,The IRLab at the University of Amsterdam,0,0,,,,,,,0,,"The IRLab at U. of Amsterdam, w/ Mohammad Aliannejadi @maliannejadi, Evangelos Kanoulas @ekanou, Maarten Marx, Maarten de Rijke @mdr, Andrew Yates @andrewyates"
fmoz,following,,,Mustafa Özyurt,0,0,,,,,,,0,,Software Developer
jsundram,following,,,Jason Sundram,0,0,,,,,,,0,,"Engineering Director. Founder @mapwithai at @Meta. Violinist @HaydnEnthusiast. I ♥ maps, dataviz, Python, Classical ♫, portrait 📸, craft 🍸"
tai_elliott,following,,,Tai Elliott,0,0,,,,,,,0,,"ML Researcher searching for efficiency and intelligence, both personally and in models."
davidkarp,following,,,David Karp,0,0,,,,,,,0,,First ever Tumblr blogger
NYTechAlliance,following,,,NY Tech Alliance,0,0,,,,,,,0,,"Nonprofit supporting the NYC tech community & ecosystem to create a better & more equitable future for all. Part of Civic Hall, a company of The Fedcap Group."
HarlanH,following,,,Harlan Harris,0,0,,,,,,,0,,"@harlanh@data-folks.masto.host , https://t.co/XOBfBKx4Eg . Data at @Algolia, formerly @TPT_Official, @DataScienceDC, @DataCommunityDC."
josh_wills,following,,,JosH100,0,0,,,,,,,0,,Engineering at @datologyai; ex-@slackhq. I like DataLoaders and @duckdb.
DataJunkie,following,,,Ryan R. Rosario,0,0,,,,,,,0,,"Software Engineer and CS Lecturer  ML/NLP, databases, data management systems, distributed systems, mountain biking.  Opinions my own."
abdur,following,,,Abdur Chowdhury,0,0,,,,,,,0,,"Now: co-founder & CEO @aura_frames, Past: Chief Scientist @Twitter, co-founder Summize, Chief Architect @AOL, co-founder @altavistaschool"
RayWJ,following,,,Ray William Johnson,0,0,,,,,,,0,,I no longer use Twitter cuz Elon is trash.
haruny,following,,,Harun Yayli,0,0,,,,,,,0,,Opinions expressed are solely my own and do not express the views or opinions of my employer. Retweets are not endorsements.
ECIR2015,following,,,ECIR2015,0,0,,,,,,,0,,
chacon,following,,,Scott Chacon,0,0,,,,,,,0,,"CEO of @gitbutler, cofounder of @SCNE_io, previously cofounder of @github."
Selcukatli,following,,,Selcuk Atli,0,0,,,,,,,0,,"Founder, songwriter. Building @Bunchverse. Prev Boostable (YCW14) & SocialWire, both acquired. Heart Sized Revolutions by ATLI soon — https://t.co/g2LOuD6zj8"
jsteeleeditor,following,,,Julie Steele,0,0,,,,,,,0,,"Dir Marketing at Manifold, a full-service AI consulting company. Personal interests include data vis, design, sensors/hardware, and yoga. she/her/hers"
UweSays,following,,,Uwe Says,0,0,,,,,,,0,,"The Policeman 👮‍♂️ ""this can equate to jvm crash in the default configuration"" - Generics and sophisticated Backwards Compatibility Policeman"
imotov,following,,,Igor Motov,0,0,,,,,,,0,,Search and Analytics Engine Development Ronin :)
jaykreps,following,,,Jay Kreps,0,0,,,,,,,0,,CEO of @confluentinc (https://t.co/fKQHUemwWR). One of the original creators of @apachekafka.
OktayGuney,following,,,Oktay Guney,0,0,,,,,,,0,,Ancora imparo.
igrigorik,following,,,Ilya Grigorik,0,0,,,,,,,0,,"Distinguished Engineer, @Shopify. On a mission to make commerce better for everyone."
CLFLN,following,,,Commit Logs,0,0,,,,,,,0,,"Bringing class to the masses. Tweets by @abestanway. You're allowed to curse on this motha$&@!ing thing, right?"
CompSciFact,following,,,Computer Science,0,0,,,,,,,0,,Daily tweets about computer science and related stuff @JohnDCook.
adamlaiacano,following,,,Adam Laiacano,0,0,,,,,,,0,,Unverified tweets about tech/engineering stuff and punk rock and golf.
thetaph1,following,,,Uwe 🇺🇦 Schindler 👮💳💉💉💉💉💉💉,0,0,,,,,,,0,,"Apache Lucene PMC Member + Committer, Managing Director of SD DataSolutions GmbH, and Enterprise Search Architect at PANGAEA. Mobile Payment Nerd."
ML_Hipster,following,,,ML Hipster,0,0,,,,,,,0,,I was into data before it was big.
gungorpl,following,,,Gungor,0,0,,,,,,,0,,engineering/product/ai
riccardotasso,following,,,Riccardo Tasso,0,0,,,,,,,0,,stateless #bidgata and #nlproc software engineer @CELI_NLP
jreichhold,following,,,Jonathan Reichhold,0,0,,,,,,,0,,Engineer and mentor. Used to work @twitter
larsonite,following,,,Brian Larson,0,0,,,,,,,0,,Cold brew drinker. Engineering at @basetenco
plok,following,,,plok,0,0,,,,,,,0,,
sam,following,,,Sam Luckenbill,0,0,,,,,,,0,,Sam I am
mrogati,following,,,Monica Rogati,0,0,,,,,,,0,,Data Science & AI advisor; fractional CDO. Former VP of Data @Jawbone & @LinkedIn data scientist. Equity Partner @DCVC. CMU CS PhD.
hakantasile,following,,,Hakan Taş ile Öne Çıkanlar,0,0,,,,,,,0,,Magazin sanat dünyasından insanları sizlerle buluşturuyoruz!
jure,following,,,Jure Leskovec,0,0,,,,,,,0,,Professor of #computerscience @Stanford; Co-founder at https://t.co/hhm1j5wP0f #machinelearning #graphs.
fhuszar,following,,,Ferenc Huszár,0,0,,,,,,,0,,"Founder & Supreme Leader of Technical Staff at Reasonable. Professor on leave from @Cambridge_CL. Alum of @Twitter, Magic Pony, @Balderton"
berlinbuzzwords,following,,,@berlinbuzzwords@floss.social,0,0,,,,,,,0,,"A conference on storing, processing, streaming, and searching large amounts of digital data | #bbuzz  | @berlinbuzzwords@floss.social"
searchblox,following,,,SearchBlox,0,0,,,,,,,0,,We simplify search for complex enterprises.
naimdjon,following,,,naimdjon,0,0,,,,,,,0,,
arjenpdevries,following,,,@arjen@idf.social 🕊️🇺🇦,0,0,,,,,,,0,,"https://t.co/7mDCUCa9DF. Arjen P. de Vries Timmers, @arjen@idf.social & professor of Information Retrieval at Radboud University & co-founder of Spinque, was here until 2022"
iFromm,following,,,Ingo Frommholz @ingo@idf.social,0,0,,,,,,,0,,I rarely post here. Find me instead on https://t.co/IRRQ1Ej8yB (Mastodon) & https://t.co/BQmO24A6io (Bluesky)
phonedude_mln,following,,,Michael L. Nelson,0,0,,,,,,,0,,Professor: @WebSciDL @ODUcs @ODUVMASC @ODUDataScience (2002-now); Engineer: @NASA_Langley (1991-2002); Postdoc: @UNCSILS (2000-2001)
abellogin,following,,,Alejandro Bellogin,0,0,,,,,,,0,,"Researcher in IR Group @UAM_Madrid 🇪🇸, prev 🇳🇱, interested in  #recsys, #evaluation, #fairness & #biases, and #spatiotemporal algorithms and data"
JeffD,following,,,Jeff Dalton,0,0,,,,,,,0,,"Associate Professor in CS, lead of @grill_lab_ai. PhD from CIIR@UMass Amherst. Research on the future of digital assistants and IR. Formerly Google, Twitter."
djoerd,following,,,Djoerd is on Mastodon,0,0,,,,,,,0,,Djoerd Hiemstra left Twitter in 2022 after its hostile takeover. Find me on Mastodon: https://t.co/3mPfTgqAKq or my blog at: https://t.co/GPGU1TgNsa
DataSift,following,,,DataSift,0,0,,,,,,,0,,"Our data platform powers an ecosystem of businesses building privacy-safe insights from social, news, & communities. Part of @meltwater."
drewconway,following,,,Drew Conway,0,0,,,,,,,0,,"1994 Blockbuster Video Game store champion for Bridgeport, CT."
johnmyleswhite,following,,,John Myles White,0,0,,,,,,,0,,"Exploring what’s next. Former engineering director at Meta :: MSL :: PyTorch, Julia core developer and psychology PhD student."
mikedewar,following,,,Michael Dewar,0,0,,,,,,,0,,"Hi, I'm not here any more. I'm @mikedewar@mastodon.online"
datagotham,following,,,DataGotham,0,0,,,,,,,0,,A homegrown data event to celebrate the people and stories of the New York data community. Check here for info on and from the event.
bowerypresents,following,,,The Bowery Presents,0,0,,,,,,,0,,@WebsterHall @MusicHallofWB @Terminal5NYC @BrooklynSteel @ForestHillsStdm @Racketnewyork
paulg,following,,,Paul Graham,0,0,,,,,,,0,,
kucrafal,following,,,Rafał Kuć,0,0,,,,,,,0,,"Father, husband, software engineer, search/relevance consultant, https://t.co/gG7hydwugv co-founder - https://t.co/WPOZMD371m."
phunt,following,,,Patrick Hunt,0,0,,,,,,,0,,"Apache ZooKeeper committer, Cloudera Employee, Hacker, Architect, Husband, Dad"
lukasvlcek,following,,,Lukáš Vlček,0,0,,,,,,,0,,Open source guy @ https://t.co/MZlwzapTz0 focusing on OpenSearch. Ex-Red Hatter.
DGleebits,following,,,Dan Gleebits,0,0,,,,,,,0,,"I do, what the voices tell me to do. Data Mining Visualization wannabe. Big Data Nerd. Internet Astronaut. Hacker. White russians - the dude abides."
_hossman,following,,,Hoss Man,0,0,,,,,,,0,,"Lucid, Lucene, Perl, Profanity, Solr, Sci-Fi, Welding, Well-Done. hossman @ [my website]"
jack,following,,,jack,0,0,,,,,,,0,,no state is the best state
cutting,following,,,Doug Cutting,0,0,,,,,,,0,,"Founder of Lucene, Nutch, Hadoop & Avro."
Lucidworks,following,,,Lucidworks,0,0,,,,,,,0,,Lucidworks connects experiences throughout the entire user journey to meet customer and employee intent in the moment.
GateAcUk,following,,,GATE (gate.ac.uk),0,0,,,,,,,0,,"Open-Source Text Analytics Infrastructure, incl. Information Extraction, Semantic Annotation, Fake News Analysis, SaaS (https://t.co/qruzpkTKQG)"
SolrLucene,following,,,Solr/Lucene,0,0,,,,,,,0,,Latest Updates on Lucene/Solr
ny_nlp_ml,following,,,NY NLP+ML,0,0,,,,,,,0,,Natural language processing (NLP) + machine learning (ML) in New York
bonsaisearch,following,,,Bonsai,0,0,,,,,,,0,,Managed Elasticsearch & OpenSearch so you can focus on search relevance—not fixing bugs or downtime  Platform status at @bonsaistatus. Managed Solr at @websolr.
sematext,following,,,"Sematext, Inc.",0,0,,,,,,,0,,"Sematext gives you full-stack visibility by exposing logs, traces, metrics, real user & synthetic data through a single Cloud or On-Premise solution."
ApacheSolr,following,,,Apache Solr,0,0,,,,,,,0,,"An open source enterprise search server based on Lucene search library, with XML/HTTP and JSON APIs, hit highlighting, faceted search, caching, replication etc."
HPE_AI,following,,,HPE AI,0,0,,,,,,,0,,"Hewlett Packard Enterprise brings together the power of AI, cloud, and networking to help organizations achieve more."
jhnhrvy,following,,,John Harvey,0,0,,,,,,,0,,"Associate Prof in N/LAB (@neodemographics), University of Nottingham."
TerrierTeam,following,,,TerrierTeam,0,0,,,,,,,0,,Researchers behind the Terrier open source search engine
NTCIR,following,,,NTCIR,0,0,,,,,,,0,,"NTCIR organizes shared-tasks in IR, QA, MT, NLP, Summarization, Data/Opinion Mining."
trecmicroblog,following,,,TREC Microblog track,0,0,,,,,,,0,,"Official updates for the TREC Microblog track. The salient aims of the track are social networks, real-time and social search."
DarthVader,following,,,Darth Vader,0,0,,,,,,,0,,"Evil Orphan Ani. Parody / Satire / Fan-Supported. Not Official & Not Affiliated with Disney, Lucasfilm, Star Wars."
DuolingoBot,following,,,DuoBot,0,0,,,,,,,0,,Funny machine translations.
LuisvonAhn,following,,,Luis von Ahn,0,0,,,,,,,0,,CEO & co-founder of @duolingo. Invented reCAPTCHA. MacArthur Fellow. Former computer science professor at Carnegie Mellon. Proud Guatemalan. @LvA_Foundation.
BenCarterette,following,,,Ben Carterette,0,0,,,,,,,0,,University of Delaware / Spotify. Researcher / teacher. Scientist / engineer. IR / search. he / him. Wilmington / New York. 🚆
kimchy,following,,,Shay Banon,0,0,,,,,,,0,,the dude abides @elastic
Engineering,following,,,Engineering,0,0,,,,,,,0,,updates from our engineering team
ApacheHama,following,,,Apache Hama,0,0,,,,,,,0,,I'm the No.2 in the Savannah
jimjag,following,,,Jim Jagielski,0,0,,,,,,,0,,"Open Source technologist, developer, speaker; Co-founder ASF; Home brewer; Head of OSPO at Salesforce. tweets IMO! @jimjag@mastodon.social | @jimjag@bsky.social"
ApacheCon,following,,,Community Over Code,0,0,,,,,,,0,,The events of the projects of The ASF. https://t.co/DwEDKpK1Ko #CommunityOverCode
SIGIR2013,following,,,SIGIR 2013,0,0,,,,,,,0,,"Official Twitter Account of the 36th Annual ACM Special Interest Group on Information Retrieval (SIGIR) Conference which will be held in TCD, Dublin, Ireland"
kdd_news,following,,,SIGKDD 2026,0,0,,,,,,,0,,The official feed for the ACM SIGKDD Community and #KDD2026 Conference
hmason,following,,,Hilary Mason,0,0,,,,,,,0,,Co-Founder of @PlayHiddenDoor. Formerly Founder of @FastForwardLabs (acquired by @Cloudera). I ♥ data and cheeseburgers. She/her.
nozgeozbek,following,,,Özge,0,0,,,,,,,0,,
lastpeace,following,,,Mehmet Ataseven,0,0,,,,,,,0,,"GATL 95, İTÜ Makina 2000, BJK"
dlmcguinness,following,,,Deborah McGuinness,0,0,,,,,,,0,,"Constellation Professor, Artificial Intelligence Researcher, Semantic Web Guru,  Founding Director Rensselaer Web Science  Research Center, and Wine Connoisseur"
ersinkoyunoglu,following,,,ersin,0,0,,,,,,,0,,farkındalık için Engellerin Ötesinde - @EOtesinde...
gayebzkrt,following,,,Gaye,0,0,,,,,,,0,,
EmreSevinc,following,,,Emre Sevinç,0,0,,,,,,,0,,Data | Business | AI | Code |  Python | Science | Math | Linux | Music | Philosophy | Books  Χάος — versus φύσις  📚  https://t.co/sDhjGt1zOB
OralHaluk,following,,,Haluk Oral,0,0,,,,,,,0,,"Bir iki kitap yazdı, bir iki tavla turnuvası kazandı..."
Mat_Koyu,following,,,Matematik Köyü,0,0,,,,,,,0,,Matematik Köyü'nün şeyidir bu.
otisg,following,,,Otis Gospodnetić,0,0,,,,,,,0,,"@sematext founder. ASF & NY CTO Club member, freediving instructor, scuba diver, published book author. Hiring: https://t.co/fiUMSDdHMm Follow: https://t.co/cprf3d9p0n"
dominikmagon,following,,,Dominik Magoń,0,0,,,,,,,0,,CTO @ Bizee
TuranKafkasli,following,,,Turan Kafkaslı,0,0,,,,,,,0,,"Tarih, siyaset ve güncele dair değerlendirmeler. ""Atacağımız adımlarda, geldiğimiz yolların izi var."""
TheASF,following,,,The ASF - Apache Software Foundation,0,0,,,,,,,0,,"The global home for open source software, powering some of the world’s most ubiquitous software projects in web, big data, Java, IoT, cloud computing, and more."
pinarbihter,following,,,Pınar Öğünç,0,0,,,,,,,0,,https://t.co/lcoBi9TvOo https://t.co/RsGYSsz1we senbeno https://t.co/41Wd9YFlD1
BoraCanAslan,following,,,Bora Can Aslan,0,0,,,,,,,0,,
CemDurul,following,,,Cem Durul,0,0,,,,,,,0,,Founder&CEO @ Fairplay Events | Business Cup I Tek Pota Ligi | Şirketler Yarışıyor | Bilyoner Rakipbul Ligi @rakipbulcom
ercanmuskara,following,,,Ercan Muşkara,0,0,,,,,,,0,,
turkuozlum,following,,,Türkü Özlüm Çelik,0,0,,,,,,,0,,
bucur_uk,following,,,Tuba Akaryıldız,0,0,,,,,,,0,,Ertelemek yok.. Hayat senin hayatın..:) Sen ne kadar mutluysan çevrendekiler de o kadar mutlu olur.:)
herbokubilirim,following,,,Zafer Kilic,0,0,,,,,,,0,,
penguendergi,following,,,Penguen,0,0,,,,,,,0,,Haftalık Bağımsız Mizah Dergisi
perenergin,following,,,Perenzinha,0,0,,,,,,,0,,"An Engineer,A Merchandiser,A Cook, DIY Queen ?naah, just a human"
naz_erkan,following,,,Ayşe Naz Erkan,0,0,,,,,,,0,,"Co-founder and CEO @lumiflowai   Previously: @RobinhoodApp, @Twitter, NYU, Max Planck Tübingen, Lecturer @ UC Berkeley Haas. 🇹🇷🇺🇸"
cathy2cool,following,,,Catherine Dumas,0,0,,,,,,,0,,"PhD Information Science Assistant Professor, INF PhD Director Information Sciences & Technology Dept., CEHC SUNY Albany"
arzu_celik,following,,,Arzu Çelik,0,0,,,,,,,0,,"Computer scientist & software engineer, worker, traveler, reader 👾 hâza bir hanımefendi"
nesslihan,following,,,Neslihan Gerek,0,0,,,,,,,0,,devoted sailor. thinking woman.
mehmetcaktas,following,,,Mehmet C Aktaş,0,0,,,,,,,0,,
deeplysense,following,,,deeplysense,0,0,,,,,,,0,,
coaktas,following,,,co,0,0,,,,,,,0,,
librhnylmz,following,,,Orhan Yılmaz,0,0,,,,,,,0,,
sinanaral,following,,,Sinan Aral,0,0,,,,,,,0,,"David Austin Professor @MIT; Director @MIT_IDE; Founding Partner, Manifest & Milemark Capital; Author, The Hype Machine, ex-Chief Scientist @SocialAmp @Humin"
mrvyzn,following,,,Merve Yazan Soytürk,0,0,,,,,,,0,,Hukukçu
dilekhcg,following,,,dilekhcg,0,0,,,,,,,0,,Avukat/Arabulucu/Bilgi Üni '07
papatyaduman,following,,,Papatya Duman,0,0,,,,,,,0,,
raufdilsiz,following,,,Rauf Dilsiz,0,0,,,,,,,0,,Sometimes I hear the silence.
cengizhangil,following,,,Cengizhangillerden,0,0,,,,,,,0,,Some can some can't
oualadinle,following,,,Onur Umut Aladinler,0,0,,,,,,,0,,one creativity organisation researcher human data interaction framing insight singularity
Osi_Himself,following,,,Osi Himself,0,0,,,,,,,0,,A little bit of this and little bit of that...
csselo,following,,,Selahaddin Yildirim,0,0,,,,,,,0,,Yazılımcı
ozzyville,following,,,Ozan Özyüksel,0,0,,,,,,,0,,
kesiciburak,following,,,.,0,0,,,,,,,0,,
OytunMatt,following,,,Oytun Matt ŞAHAN,0,0,,,,,,,0,,
___GO___,following,,,Gokhan Onis,0,0,,,,,,,0,,"http://t.co/NsyWk8hoJO  GO"
anil_bayram,following,,,ANIL BAYRAM,0,0,,,,,,,0,,
ozdogrua,following,,,Asil Özdoğru,0,0,,,,,,,0,,Educational Psychologist
darshanshinde,following,,,Darshan Shinde,0,0,,,,,,,0,,Cloud Engineer | RYT-200 | Student For Life
_conchita_,following,,,conchita,0,0,,,,,,,0,,Başka bir dünya mümkün!
merv06,following,,,MerVoloji,0,0,,,,,,,0,,
tnrsvd,following,,,fatma tanrısevdi,0,0,,,,,,,0,,ailenizin front-endcisi
emrahkrcn,following,,,EMRAH KARACAN,0,0,,,,,,,0,,
paradidlecraft,following,,,tolga tunca,0,0,,,,,,,0,,
aylaylomm,following,,,aylaylomm,0,0,,,,,,,0,,
ibrahim_ince,following,,,İbrahim İnce,0,0,,,,,,,0,,to do list : nothing
hilalustn,following,,,Hilal üstün,0,0,,,,,,,0,,
THE___LAW,following,,,Nezih Olmaç,0,0,,,,,,,0,,Biz kimsenin efendisi olmadık kimseyede kölelik etmedik...!
barkintackin,following,,,Barkın Taçkın,0,0,,,,,,,0,,Founder @ Vodyo Group http://t.co/7RuxncL571 - https://t.co/UNRjW7gEWO
cyberfart,following,,,Eren Güven,0,0,,,,,,,0,,"Founder @ Fabrik5. Tech leadership and DevOps. Python frontman, Erlang drummer, Zig groupie. Developer, gamer. #tech #science"
vtunali,following,,,Dr Volkan TUNALI,0,0,,,,,,,0,,"Senior Lecturer in Computing at the University of the West of Scotland, School of Computing, Engineering and Physical Sciences."
lucene_solr,following,,,Yonik Seeley,0,0,,,,,,,0,,"Open source enthusiast, Creator of Solr, Lucene/Solr committer, LucidWorks Co-Founder, ASF Member"
inanbasar,following,,,İnan,0,0,,,,,,,0,,
mutlusen,following,,,Mutlu Şen,0,0,,,,,,,0,,
altineller,following,,,Can Altineller,0,0,,,,,,,0,,"I am a software engineer, and I design electronics to empower ROS education in the undergraduate curriculum."
martinfowler,following,,,Martin Fowler,0,0,,,,,,,0,,"Author on Software Development. Works for Thoughtworks. Also hikes, watches theater, and plays modern board games. He/him."
osmanizbat,following,,,Osman İzbat,0,0,,,,,,,0,,
yuskarakus,following,,,Yusuf,0,0,,,,,,,0,,
SebastianThrun,following,,,Sebastian Thrun,0,0,,,,,,,0,,"CEO StealthStartup, Adjunct Prof at Stanford and GaTech"
TheTweetOfGod,following,,,God,0,0,,,,,,,0,,Spiritual but not religious. https://t.co/9wMTURWq1l
burcukahveci,following,,,Burcu Kahveci,0,0,,,,,,,0,,
Shrekspure,following,,,Benny Yersen,0,0,,,,,,,0,,
ask_dba,following,,,Alkin Tezuysal,0,0,,,,,,,0,,"Open Source Database Evangelist -Born to Sail, Forced to Work!  #mysqlcookbook4e #designandmodeling  #mysqlrockstar #oracleacepro https://t.co/mcHsHWnypW"
melihsakarya,following,,,Melih Sakarya,0,0,,,,,,,0,,Founder at Testinium
doramenguc,following,,,Dora Mengüç ✍,0,0,,,,,,,0,,Gazeteci 📨 mengucdora@gmail.com https://t.co/EkdYVHxoDV
mehmetoozen,following,,,Mehmet Özen,0,0,,,,,,,0,,"gazete, yazı, pearl jam"
hacioglu,following,,,Murat Hacıoğlu,0,0,,,,,,,0,,"Marketing Intelligence, Smart Personalization and Customer Journey Predictive Analytics 🧠 📈 👥 | @B2Metric, CEO"
onureker,following,,,Onur Eker,0,0,,,,,,,0,,Software Engineer
SelfInvestHub,following,,,SelfInvestHub,0,0,,,,,,,0,,
mit_core,following,,,Mustafa Özgür,0,0,,,,,,,0,,Life is too short - Write Fast Code!
tahsinyoltay,following,,,ty,0,0,,,,,,,0,,Computer Scientist | Londoner
edincelli,following,,,Ersin Dincelli,0,0,,,,,,,0,,Associate Professor @CUDenver. #cybersecurity #hci
rcmuir,following,,,Robert Charles Muir,0,0,,,,,,,0,,durum patientia frango
Gulfems,following,,,Gulfem,0,0,,,,,,,0,,
erdincyilmazel,following,,,erdinç,0,0,,,,,,,0,,
fkoksal,following,,,Mehmet Fatih Köksal,0,0,,,,,,,0,,Computer Scientist and Software Engineer
gamzeekin,following,,,Gamze Ekin,0,0,,,,,,,0,,"“When you are creating your own s..t, man, even the sky ain't the limit.” - Miles Davis"
hasanSamet,following,,,samet yaslan,0,0,,,,,,,0,,parent
yodiningunlugu,following,,,KİTAP,0,0,,,,,,,0,,kitapsever
ozguryilmazel,following,,,ozguryilmazel,0,0,,,,,,,0,,
melihcelik,following,,,melihcelik,0,0,,,,,,,0,,
PINguAR,following,,,Pinar Yanardag,0,0,,,,,,,0,,"Mom of 3. Assistant Prof. #VirginiaTech CS. Formerly #MIT #Purdue #Bogazici. #Emmy Nominated Creative Director, #Fulbright Fellow. Contact: pinary@vt.edu."
